name,
Sticker | Baby Howl,
StatTrak™ USP-S | PC-GRN (Field-Tested),
Sticker | HooXi (Glitter) | Copenhagen 2024,
Sticker | Mastermind,
Sticker | ropz (Glitter) | Shanghai 2024,
USP-S | Alpine Camo (Field-Tested),
AWP | PAW (Minimal Wear),
StatTrak™ MAC-10 | Sakkaku (Field-Tested),
M4A4 | Tooth Fairy (Field-Tested),
Sticker | Copenhagen Flames (Glitter) | Antwerp 2022,
USP-S | Cyrex (Field-Tested),
AWP | PAW (Factory New),
AWP | Phobos (Minimal Wear),
Sticker | DreamEaters | Berlin 2019,
Horizon Case,
StatTrak™ AK-47 | Uncharted (Field-Tested),
Patch | Shattered Web,
Sticker | Hydro Stream,
Copenhagen 2024 Champions Autograph Capsule,
Desert Eagle | Crimson Web (Field-Tested),
M4A4 | Urban DDPAT (Minimal Wear),
MP7 | Anodized Navy (Factory New),
AWP | Mortis (Minimal Wear),
Charm | Lil' Sandy,
Sawed-Off | Spirit Board (Factory New),
Sticker | Into The Breach (Holo) | Paris 2023,
Sticker | Co Co Co,
Sticker | Team Spirit (Glitter) | Copenhagen 2024,
AK-47 | The Empress (Well-Worn),
MAG-7 | Foresight (Factory New),
Sticker | MOUZ (Glitter) | Paris 2023,
MP9 | Ruby Poison Dart (Factory New),
Shanghai 2024 Champions Autograph Capsule,
Sticker | Imperial Esports (Holo) | Copenhagen 2024,
Sticker | MOUZ (Glitter) | Copenhagen 2024,
Sticker | Vitality (Holo) | 2020 RMR,
M249 | Downtown (Field-Tested),
Nova | Wurst Hölle (Minimal Wear),
Paris 2023 Legends Sticker Capsule,
R8 Revolver | Crazy 8 (Field-Tested),
Rio 2022 Legends Sticker Capsule,
SSG 08 | Fever Dream (Field-Tested),
Sticker | FlyQuest (Glitter) | Shanghai 2024,
Sticker | Spirit (Foil) | 2020 RMR,
SCAR-20 | Carbon Fiber (Factory New),
MP9 | Army Sheen (Factory New),
Sticker | Into The Breach (Gold) | Paris 2023,
Sticker | frozen | Berlin 2019,
USP-S | Flashback (Minimal Wear),
Five-SeveN | Silver Quartz (Factory New),
Galil AR | Metallic Squeezer (Field-Tested),
MAC-10 | Sakkaku (Field-Tested),
MAC-10 | Silver (Factory New),
Sticker | Coiled Strike,
Sticker | Complexity Gaming (Glitter) | Shanghai 2024,
XM1014 | Zombie Offensive (Factory New),
M4A4 | Etch Lord (Field-Tested),
SSG 08 | Hand Brake (Minimal Wear),
Sticker | Virtus.pro (Holo) | 2020 RMR,
Sticker | ZywOo (Glitter) | Copenhagen 2024,
AK-47 | Elite Build (Well-Worn),
AWP | Capillary (Minimal Wear),
Copenhagen 2024 Legends Sticker Capsule,
Galil AR | Rocket Pop (Minimal Wear),
P250 | Nevermore (Minimal Wear),
P90 | Wave Breaker (Field-Tested),
Rio 2022 Champions Autograph Capsule,
SG 553 | Anodized Navy (Factory New),
Sticker | G2 Esports (Glitter) | Copenhagen 2024,
Sticker | Ribbon Tie,
UMP-45 | Carbon Fiber (Factory New),
R8 Revolver | Amber Fade (Minimal Wear),
SSG 08 | Zeno (Field-Tested),
StatTrak™ Glock-18 | Block-18 (Field-Tested),
P90 | Wave Breaker (Minimal Wear),
Sticker | Conspiracy Club (Holo),
UMP-45 | Wild Child (Field-Tested),
M4A4 | Converter (Minimal Wear),
USP-S | 27 (Minimal Wear),
AUG | Surveillance (Factory New),
M4A1-S | Night Terror (Battle-Scarred),
P2000 | Wicked Sick (Field-Tested),
AK-47 | Olive Polycam (Minimal Wear),
SSG 08 | Abyss (Minimal Wear),
Antwerp 2022 Legends Sticker Capsule,
Sticker | Ninjas in Pyjamas (Holo) | Paris 2023,
Sticker | donk | Shanghai 2024,
AK-47 | Emerald Pinstripe (Field-Tested),
AWP | PAW (Field-Tested),
Sticker | Heroic (Glitter) | Copenhagen 2024,
"Sticker | ZywOo (Glitter, Champion) | Paris 2023",
Galil AR | Control (Field-Tested),
MP7 | Abyssal Apparition (Minimal Wear),
StatTrak™ SSG 08 | Fever Dream (Factory New),
Sticker | Team Spirit (Glitter) | Shanghai 2024,
SG 553 | Dragon Tech (Factory New),
Sticker | Heroic (Holo) | Paris 2023,
AK-47 | Searing Rage (Battle-Scarred),
P2000 | Amber Fade (Field-Tested),
Sticker | Dreams And Mimics,
Sticker | OG (Foil) | 2020 RMR,
AK-47 | Neon Revolution (Field-Tested),
M4A4 | In Living Color (Minimal Wear),
AWP | Neo-Noir (Field-Tested),
USP-S | Printstream (Field-Tested),
AWP | Neo-Noir (Minimal Wear),
Glock-18 | Neo-Noir (Minimal Wear),
Aces High Pin,
StatTrak™ M4A1-S | Black Lotus (Field-Tested),
AK-47 | The Empress (Field-Tested),
AWP | Wildfire (Field-Tested),
Krakow 2017 Legends Autograph Capsule,
UMP-45 | Neo-Noir (Minimal Wear),
StatTrak™ Desert Eagle | Light Rail (Minimal Wear),
StatTrak™ SSG 08 | Fever Dream (Minimal Wear),
AK-47 | Blue Laminate (Minimal Wear),
Desert Eagle | Night Heist (Factory New),
MP7 | Cirrus (Factory New),
"Music Kit | ISOxo, inhuman",
M4A1-S | Player Two (Field-Tested),
StatTrak™ USP-S | Flashback (Factory New),
Chem-Haz Specialist | SWAT,
Patch | Metal The Global Elite,
M4A4 | Turbine (Minimal Wear),
Krakow 2017 Legends Autograph Capsule,
M4A4 | Magnesium (Factory New),
MAG-7 | SWAG-7 (Minimal Wear),
Sticker | Boom Blast (Glitter),
Sticker | Bolt Strike (Foil),
MAC-10 | Light Box (Factory New),
Sticker | Dragon Lore (Foil),
Sticker | Boom Detonation (Glitter),
Sticker | Fnatic (Holo) | Paris 2023,
Sticker | Coiled Strike (Holo),
Sticker | Cloud9 (Glitter) | Copenhagen 2024,
Sticker | Zeusception (Holo),
Sticker | Fluxo (Holo) | Paris 2023,
Sticker | Wildcard (Glitter) | Shanghai 2024,
Sticker | s1mple (Holo) | Stockholm 2021,
Sticker | Boom Trail,
Sticker | MOUZ (Holo) | Paris 2023,
