name,buy_price,selling_price,min_profit,mean_profitability,tier
MP9 | Hydra (Minimal Wear),11.91,20.9,5.85,False,2
★ Talon Knife | Tiger Tooth (Factory New),371.82,482.85,38.6,True,1
★ Ursus Knife | Tiger Tooth (Factory New),101.07,160.69,35.52,True,1
M4A1-S | Cyrex (Minimal Wear),100.44,159.69,35.3,True,1
AK-47 | Bloodsport (Factory New),138.69,195.45,27.44,True,1
★ Driver Gloves | Imperial Plaid (Field-Tested),194.78,260.77,26.87,True,1
★ Bowie Knife | Marble Fade (Factory New),122.05,170.59,22.95,True,1
★ Sport Gloves | Omega (Field-Tested),213.63,277.43,22.19,True,1
AK-47 | B the Monster (Field-Tested),194.28,252.3,20.18,True,1
★ Talon Knife | Rust Coat (Battle-Scarred),182.45,236.93,18.94,True,1
M4A1-S | Fade (Factory New),384.31,474.13,18.7,True,1
★ Specialist Gloves | Fade (Field-Tested),167.34,217.32,17.38,True,1
SSG 08 | Dragonfire (Factory New),353.19,435.74,17.19,True,1
P90 | Asiimov (Field-Tested),117.99,157.97,16.28,True,1
★ Ursus Knife | Marble Fade (Factory New),136.32,177.03,14.16,True,1
SSG 08 | Dragonfire (Field-Tested),271.7,335.19,13.21,True,1
★ Driver Gloves | Black Tie (Field-Tested),122.26,158.78,12.7,True,1
★ Kukri Knife | Fade (Factory New),187.28,231.04,9.1,True,1
★ Specialist Gloves | Marble Fade (Field-Tested),158.94,196.08,7.73,True,1
P90 | Asiimov (Minimal Wear),134.5,165.94,6.55,True,1
AK-47 | Bloodsport (Minimal Wear),127.21,156.94,6.19,True,1
M4A1-S | Mecha Industries (Minimal Wear),85.41,142.94,36.09,True,2
★ Sport Gloves | Bronze Morph (Field-Tested),82.79,138.55,34.98,True,2
M4A1-S | Cyrex (Field-Tested),98.31,156.3,34.55,True,2
★ Moto Gloves | Polygon (Field-Tested),92.24,146.65,32.41,True,2
AK-47 | Neon Revolution (Field-Tested),53.54,89.6,22.62,True,2
★ Moto Gloves | Turtle (Field-Tested),63.38,100.77,22.27,True,2
AWP | BOOM (Minimal Wear),101.21,137.22,15.43,True,2
MAC-10 | Fade (Factory New),56.63,83.32,14.19,True,2
P250 | See Ya Later (Minimal Wear),52.88,76.43,12.09,True,2
AWP | Asiimov (Field-Tested),87.28,116.85,12.04,True,2
MAC-10 | Neon Rider (Factory New),73.53,98.44,10.14,True,2
★ Specialist Gloves | Mogul (Field-Tested),95.87,124.5,9.95,True,2
M4A1-S | Hyper Beast (Field-Tested),70.63,94.57,9.75,True,2
★ Paracord Knife | Marble Fade (Factory New),119.84,152.43,9.73,True,2
AK-47 | The Empress (Minimal Wear),66.12,88.52,9.12,True,2
PP-Bizon | Judgement of Anubis (Field-Tested),64.84,86.81,8.95,True,2
AK-47 | Nightwish (Well-Worn),37.95,54.86,8.68,True,2
★ Paracord Knife | Tiger Tooth (Factory New),99.33,126.34,8.06,True,2
Sir Bloody Miami Darryl | The Professionals,97.12,123.53,7.88,True,2
AUG | Chameleon (Factory New),55.77,74.66,7.69,True,2
AK-47 | The Empress (Well-Worn),50.32,68.22,7.67,True,2
★ Survival Knife | Tiger Tooth (Factory New),92.76,117.98,7.52,True,2
★ Driver Gloves | Queen Jaguar (Field-Tested),51.69,69.21,7.14,True,2
M4A1-S | Nightmare (Factory New),86.3,109.76,7.0,True,2
★ Hand Wraps | Duct Tape (Field-Tested),44.7,60.61,6.82,True,2
Galil AR | Chatterbox (Well-Worn),64.6,83.89,6.71,True,2
M4A1-S | Vaporwave (Field-Tested),48.54,64.99,6.7,True,2
MP7 | Bloodsport (Factory New),61.85,80.33,6.43,True,2
AK-47 | Nightwish (Minimal Wear),46.36,62.07,6.4,True,2
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman,40.49,54.89,6.17,True,2
★ Navaja Knife | Marble Fade (Factory New),75.92,96.56,6.16,True,2
★ Broken Fang Gloves | Jade (Field-Tested),75.49,96.01,6.12,True,2
CS:GO Weapon Case,72.86,92.66,5.9,True,2
Galil AR | Chatterbox (Battle-Scarred),72.31,91.97,5.86,True,2
★ Survival Knife | Marble Fade (Factory New),119.98,148.03,5.85,True,2
AK-47 | Inheritance (Minimal Wear),68.68,87.36,5.58,True,2
USP-S | Neo-Noir (Field-Tested),53.28,69.2,5.54,True,2
AWP | Green Energy (Minimal Wear),39.18,52.46,5.41,True,2
★ Driver Gloves | Overtake (Field-Tested),66.44,84.5,5.39,True,2
Bloody Darryl The Strapped | The Professionals,37.83,50.65,5.22,True,2
M4A1-S | Vaporwave (Minimal Wear),105.94,130.7,5.15,True,2
AK-47 | Bloodsport (Field-Tested),105.23,129.82,5.12,True,2
M4A4 | The Emperor (Field-Tested),36.43,48.78,5.03,True,2
M4A1-S | Decimator (Factory New),47.97,62.3,4.98,True,2
AUG | Chameleon (Minimal Wear),47.26,61.37,4.9,True,2
★ Broken Fang Gloves | Needle Point (Field-Tested),46.47,60.35,4.83,True,2
AK-47 | The Empress (Field-Tested),55.72,70.86,4.51,True,2
AK-47 | Head Shot (Minimal Wear),54.57,69.41,4.43,True,2
★ Driver Gloves | Rezan the Red (Field-Tested),85.87,105.94,4.18,True,2
AWP | Printstream (Minimal Wear),84.79,104.61,4.13,True,2
M4A1-S | Golden Coil (Field-Tested),50.66,64.43,4.11,True,2
Glock-18 | AXIA (Field-Tested),38.66,50.21,4.02,True,2
Glock-18 | Bullet Queen (Minimal Wear),36.81,47.8,3.82,True,2
MAC-10 | Neon Rider (Field-Tested),78.3,96.6,3.81,True,2
MAC-10 | Neon Rider (Minimal Wear),77.55,95.68,3.78,True,2
Number K | The Professionals,45.87,58.35,3.73,True,2
M4A1-S | Chantico's Fire (Field-Tested),76.57,94.47,3.73,True,2
AK-47 | Nightwish (Field-Tested),45.77,58.21,3.71,True,2
StatTrak™ Desert Eagle | Printstream (Field-Tested),44.79,56.96,3.63,True,2
AWP | Printstream (Field-Tested),40.9,52.03,3.33,True,2
FAMAS | Roll Cage (Field-Tested),67.29,83.02,3.28,True,2
AK-47 | Legion of Anubis (Factory New),40.4,51.39,3.28,True,2
StatTrak™ Desert Eagle | Printstream (Minimal Wear),66.66,82.24,3.24,True,2
AWP | Wildfire (Minimal Wear),63.04,77.78,3.07,True,2
P250 | See Ya Later (Field-Tested),58.53,72.21,2.85,True,2
AWP | Asiimov (Battle-Scarred),55.02,67.88,2.68,True,2
USP-S | Printstream (Minimal Wear),53.7,66.25,2.61,True,2
USP-S | The Traitor (Minimal Wear),52.65,64.95,2.56,True,2
M4A4 | Neo-Noir (Minimal Wear),52.23,64.44,2.54,True,2
MP9 | Starlight Protector (Minimal Wear),51.37,63.38,2.5,True,2
USP-S | Kill Confirmed (Field-Tested),50.83,62.71,2.47,True,2
M4A1-S | Guardian (Factory New),49.85,61.5,2.42,True,2
Sir Bloody Darryl Royale | The Professionals,48.78,60.18,2.37,True,2
AK-47 | Asiimov (Minimal Wear),47.82,59.0,2.33,True,2
AK-47 | Inheritance (Field-Tested),47.74,58.89,2.32,True,2
MP9 | Starlight Protector (Field-Tested),47.12,58.13,2.29,True,2
★ Moto Gloves | Transport (Field-Tested),43.69,53.9,2.12,True,2
AWP | Chromatic Aberration (Minimal Wear),39.91,49.24,1.94,True,2
AWP | Neo-Noir (Factory New),39.53,48.77,1.92,True,2
AWP | Elite Build (Minimal Wear),16.79,29.33,8.14,True,3
AWP | Printstream (Well-Worn),29.69,42.92,6.79,True,3
FAMAS | Mecha Industries (Field-Tested),20.63,31.39,6.05,True,3
USP-S | Kill Confirmed (Well-Worn),34.14,46.29,5.21,True,3
Sir Bloody Skullhead Darryl | The Professionals,34.5,46.2,4.77,True,3
★ Driver Gloves | Racing Green (Field-Tested),33.55,44.92,4.63,True,3
Elite Trapper Solman | Guerrilla Warfare,27.28,36.98,4.15,True,3
Desert Eagle | Code Red (Field-Tested),29.38,39.33,4.05,True,3
M4A4 | Neo-Noir (Battle-Scarred),20.87,29.17,3.92,True,3
AWP | Crakow! (Field-Tested),34.48,44.78,3.58,True,3
UMP-45 | Crimson Foil (Factory New),10.81,16.67,3.36,True,3
Safecracker Voltzmann | The Professionals,16.9,23.82,3.35,True,3
M4A4 | Temukau (Field-Tested),23.73,31.77,3.27,True,3
AUG | Carved Jade (Factory New),20.99,28.46,3.2,True,3
AWP | Elite Build (Field-Tested),11.77,17.41,3.03,True,3
Sir Bloody Silent Darryl | The Professionals,36.34,46.22,2.95,True,3
★ Hydra Gloves | Mangrove (Field-Tested),35.76,45.49,2.91,True,3
Desert Eagle | Printstream (Minimal Wear),35.64,45.33,2.89,True,3
AK-47 | Neon Rider (Field-Tested),34.74,44.19,2.82,True,3
AWP | Chrome Cannon (Well-Worn),20.08,26.89,2.78,True,3
AWP | Wildfire (Field-Tested),34.27,43.58,2.77,True,3
MP7 | Bloodsport (Minimal Wear),33.79,42.98,2.74,True,3
Operation Bravo Case,33.38,42.46,2.71,True,3
AWP | Printstream (Battle-Scarred),32.39,41.19,2.62,True,3
FAMAS | Bad Trip (Field-Tested),31.44,39.98,2.54,True,3
AWP | Neo-Noir (Minimal Wear),30.37,38.63,2.47,True,3
AK-47 | Asiimov (Field-Tested),30.16,38.36,2.45,True,3
Desert Eagle | Printstream (Battle-Scarred),23.15,30.06,2.4,True,3
USP-S | Printstream (Field-Tested),28.53,36.29,2.32,True,3
AWP | Chrome Cannon (Minimal Wear),28.44,36.17,2.3,True,3
Desert Eagle | Printstream (Field-Tested),28.21,35.88,2.29,True,3
AK-47 | Head Shot (Well-Worn),21.99,28.56,2.29,True,3
AWP | Neo-Noir (Field-Tested),27.49,34.97,2.23,True,3
AK-47 | Head Shot (Field-Tested),25.7,32.69,2.09,True,3
Desert Eagle | Kumicho Dragon (Minimal Wear),19.46,25.27,2.02,True,3
M4A4 | Neo-Noir (Field-Tested),24.74,31.47,2.01,True,3
AK-47 | Legion of Anubis (Field-Tested),24.14,30.71,1.96,True,3
MP7 | Bloodsport (Field-Tested),24.22,30.8,1.96,True,3
Glock-18 | Water Elemental (Factory New),23.79,30.26,1.93,True,3
AWP | Chromatic Aberration (Field-Tested),23.53,29.93,1.91,True,3
M4A4 | In Living Color (Field-Tested),23.32,29.66,1.89,True,3
AWP | Chrome Cannon (Field-Tested),23.04,29.3,1.87,True,3
USP-S | Printstream (Battle-Scarred),23.11,29.39,1.87,True,3
Glock-18 | Bullet Queen (Field-Tested),37.45,46.2,1.82,True,3
P90 | Shallow Grave (Field-Tested),17.5,22.73,1.82,True,3
M4A1-S | Player Two (Field-Tested),37.16,45.85,1.81,True,3
Five-SeveN | Angry Mob (Field-Tested),35.7,44.05,1.74,True,3
FAMAS | Mecha Industries (Minimal Wear),31.32,38.64,1.52,True,3
M4A1-S | Black Lotus (Factory New),18.4,23.4,1.49,True,3
AWP | Fever Dream (Factory New),18.3,23.28,1.49,True,3
AK-47 | Frontside Misty (Minimal Wear),28.72,35.44,1.4,True,3
Sticker | Gold Web (Foil),17.19,21.86,1.39,True,3
SSG 08 | Bloodshot (Field-Tested),13.3,17.27,1.38,True,3
AWP | Hyper Beast (Field-Tested),28.0,34.55,1.37,True,3
M4A1-S | Decimator (Minimal Wear),16.66,21.2,1.36,True,3
Special Agent Ava | FBI,16.54,21.04,1.34,True,3
USP-S | The Traitor (Field-Tested),27.4,33.8,1.33,True,3
AWP | Green Energy (Field-Tested),16.44,20.91,1.33,True,3
AK-47 | Legion of Anubis (Minimal Wear),26.95,33.26,1.32,True,3
Operation Hydra Case,25.96,32.02,1.26,True,3
AK-47 | Redline (Field-Tested),25.99,32.06,1.26,True,3
AK-47 | Ice Coaled (Factory New),14.63,18.6,1.18,True,3
Desert Eagle | Conspiracy (Factory New),14.48,18.41,1.17,True,3
Lt. Commander Ricksaw | NSWC SEAL,14.28,18.16,1.16,True,3
AK-47 | Slate (Factory New),14.06,17.88,1.14,True,3
Glove Case,13.8,17.55,1.12,True,3
Glock-18 | Gold Toof (Field-Tested),22.98,28.35,1.12,True,3
Desert Eagle | Kumicho Dragon (Field-Tested),13.72,17.45,1.11,True,3
StatTrak™ M4A1-S | Black Lotus (Minimal Wear),22.75,28.06,1.1,True,3
M4A4 | Desolate Space (Field-Tested),13.23,16.83,1.08,True,3
AK-47 | Frontside Misty (Field-Tested),13.26,16.87,1.08,True,3
Glock-18 | Water Elemental (Minimal Wear),13.25,16.85,1.07,True,3
StatTrak™ AWP | Atheris (Minimal Wear),13.16,16.74,1.07,True,3
AK-47 | Midnight Laminate (Minimal Wear),21.83,26.93,1.06,True,3
Glock-18 | Water Elemental (Field-Tested),12.56,15.98,1.02,True,3
AWP | Atheris (Factory New),12.63,16.06,1.02,True,3
M4A1-S | Nightmare (Minimal Wear),20.89,25.77,1.01,True,3
Trapper Aggressor | Guerrilla Warfare,20.19,24.9,0.97,True,3
StatTrak™ MP7 | Bloodsport (Field-Tested),19.31,23.83,0.95,True,3
Desert Eagle | Mulberry (Minimal Wear),18.88,23.3,0.93,True,3
StatTrak™ M4A1-S | Black Lotus (Field-Tested),15.64,19.29,0.76,True,3
Five-SeveN | Copper Galaxy (Factory New),8.73,12.91,2.24,True,4
Tec-9 | Decimator (Field-Tested),10.69,14.94,2.01,True,4
StatTrak™ Galil AR | Eco (Field-Tested),10.28,14.36,1.93,True,4
StatTrak™ AK-47 | Slate (Field-Tested),8.99,12.68,1.79,True,4
Five-SeveN | Fowl Play (Field-Tested),9.48,13.26,1.79,True,4
Operation Riptide Case,9.92,13.28,1.37,True,4
AK-47 | Point Disarray (Field-Tested),9.38,12.56,1.3,True,4
AWP | Mortis (Factory New),9.3,12.45,1.28,True,4
StatTrak™ USP-S | Cyrex (Factory New),9.08,12.15,1.25,True,4
FAMAS | Eye of Athena (Minimal Wear),6.59,9.21,1.24,True,4
Tec-9 | Fuel Injector (Minimal Wear),11.28,14.65,1.17,True,4
USP-S | Stainless (Minimal Wear),7.85,10.52,1.09,True,4
StatTrak™ Glock-18 | Vogue (Minimal Wear),7.71,10.32,1.06,True,4
AK-47 | Midnight Laminate (Field-Tested),7.52,10.06,1.03,True,4
StatTrak™ AK-47 | Elite Build (Minimal Wear),7.1,9.51,0.98,True,4
'Blueberries' Buckshot | NSWC SEAL,11.98,15.24,0.97,True,4
Desert Eagle | Conspiracy (Minimal Wear),11.52,14.65,0.93,True,4
UMP-45 | Primal Saber (Field-Tested),6.58,8.82,0.92,True,4
M4A1-S | Leaded Glass (Minimal Wear),6.59,8.82,0.91,True,4
StatTrak™ USP-S | Black Lotus (Minimal Wear),6.56,8.79,0.91,True,4
Rezan the Redshirt | Sabre,6.45,8.64,0.89,True,4
Michael Syfers  | FBI Sniper,10.7,13.62,0.88,True,4
AWP | Fever Dream (Minimal Wear),10.38,13.21,0.85,True,4
AK-47 | Wintergreen (Factory New),10.37,13.19,0.84,True,4
'The Doctor' Romanov | Sabre,10.24,13.02,0.83,True,4
Slingshot | Phoenix,10.26,13.05,0.83,True,4
Operator | FBI SWAT,10.04,12.77,0.81,True,4
StatTrak™ AK-47 | Ice Coaled (Field-Tested),9.61,12.23,0.79,True,4
M4A1-S | Decimator (Field-Tested),9.48,12.06,0.77,True,4
The Elite Mr. Muhlik | Elite Crew,9.38,11.93,0.76,True,4
CS:GO Weapon Case 2,9.26,11.78,0.75,True,4
3rd Commando Company | KSK,9.28,11.8,0.75,True,4
Osiris | Elite Crew,9.28,11.8,0.75,True,4
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested),9.31,11.84,0.75,True,4
M4A1-S | Black Lotus (Minimal Wear),9.16,11.65,0.74,True,4
B Squadron Officer | SAS,8.94,11.38,0.73,True,4
Galil AR | Eco (Field-Tested),8.89,11.3,0.71,True,4
StatTrak™ Glock-18 | Shinobu (Field-Tested),8.66,11.02,0.71,True,4
Glock-18 | Nuclear Garden (Factory New),8.71,11.08,0.71,True,4
Seal Team 6 Soldier | NSWC SEAL,8.54,10.87,0.7,True,4
Ground Rebel  | Elite Crew,8.29,10.54,0.67,True,4
Sticker Capsule 2,8.16,10.38,0.66,True,4
M4A4 | Spider Lily (Field-Tested),8.01,10.19,0.65,True,4
M4A1-S | Nightmare (Field-Tested),7.82,9.95,0.64,True,4
AK-47 | Searing Rage (Minimal Wear),7.95,10.11,0.64,True,4
Glock-18 | Shinobu (Minimal Wear),7.8,9.92,0.63,True,4
P250 | Asiimov (Field-Tested),7.66,9.74,0.62,True,4
Markus Delrow | FBI HRT,7.66,9.74,0.62,True,4
M4A4 | Evil Daimyo (Factory New),7.64,9.72,0.62,True,4
FAMAS | Pulse (Factory New),7.6,9.67,0.62,True,4
AK-47 | Ice Coaled (Minimal Wear),7.52,9.56,0.61,True,4
Five-SeveN | Monkey Business (Field-Tested),7.5,9.54,0.61,True,4
eSports 2014 Summer Case,7.34,9.34,0.6,True,4
Prof. Shahmat | Elite Crew,7.26,9.24,0.59,True,4
AUG | Eye of Zapems (Minimal Wear),7.21,9.17,0.58,True,4
Blackwolf | Sabre,6.96,8.86,0.57,True,4
Desert Eagle | Mulberry (Field-Tested),7.01,8.92,0.57,True,4
Galil AR | Chromatic Aberration (Minimal Wear),6.94,8.82,0.56,True,4
FAMAS | Djinn (Field-Tested),6.78,8.63,0.56,True,4
AK-47 | Phantom Disruptor (Minimal Wear),6.76,8.6,0.55,True,4
Buckshot | NSWC SEAL,6.85,8.71,0.55,True,4
M4A1-S | Nitro (Factory New),6.79,8.63,0.55,True,4
Enforcer | Phoenix,6.57,8.36,0.54,True,4
Sticker | FURIA (Holo) | Stockholm 2021,6.46,8.22,0.53,True,4
Soldier | Phoenix,6.49,8.26,0.53,True,4
MP9 | Food Chain (Minimal Wear),6.43,8.18,0.52,True,4
Desert Eagle | Crimson Web (Field-Tested),10.81,13.33,0.52,True,4
Dragomir | Sabre,6.25,7.96,0.52,True,4
Chem-Haz Specialist | SWAT,10.45,12.9,0.52,True,4
CS:GO Weapon Case 3,6.23,7.93,0.51,True,4
USP-S | Cyrex (Factory New),6.33,8.05,0.51,True,4
P250 | Muertos (Minimal Wear),8.73,10.78,0.43,True,4
USP-S | Blueprint (Minimal Wear),8.42,10.39,0.41,True,4
AK-47 | The Outsiders (Field-Tested),7.39,9.12,0.36,True,4
Rezan The Ready | Sabre,7.22,8.91,0.35,True,4
AK-47 | Baroque Purple (Field-Tested),5.15,7.2,0.97,True,5
M4A1-S | Leaded Glass (Field-Tested),4.93,6.9,0.94,True,5
Copenhagen 2024 Anubis Souvenir Package,2.57,4.1,0.91,True,5
AUG | Syd Mead (Field-Tested),4.61,6.45,0.87,True,5
StatTrak™ AWP | Worm God (Field-Tested),3.33,4.92,0.85,True,5
UMP-45 | K.O. Factory (Minimal Wear),5.57,7.46,0.77,True,5
StatTrak™ AWP | Duality (Field-Tested),3.92,5.49,0.75,True,5
AK-47 | Crossfade (Factory New),5.43,7.27,0.75,True,5
Sticker | Evil Geniuses (Holo) | Stockholm 2021,4.76,6.37,0.65,True,5
StatTrak™ Glock-18 | Block-18 (Factory New),4.7,6.3,0.65,True,5
StatTrak™ M4A1-S | Night Terror (Factory New),4.6,6.16,0.64,True,5
FAMAS | Valence (Minimal Wear),4.49,6.02,0.63,True,5
StatTrak™ Five-SeveN | Urban Hazard (Minimal Wear),2.38,3.53,0.62,True,5
Zeus x27 | Olympus (Minimal Wear),4.09,5.47,0.56,True,5
SG 553 | Cyrex (Field-Tested),2.92,4.09,0.56,True,5
StatTrak™ AK-47 | Elite Build (Field-Tested),3.95,5.29,0.55,True,5
Desert Eagle | Trigger Discipline (Factory New),3.86,5.17,0.53,True,5
StatTrak™ Galil AR | Rocket Pop (Minimal Wear),2.77,3.88,0.53,True,5
AWP | Atheris (Minimal Wear),6.16,7.84,0.5,True,5
StatTrak™ USP-S | Torque (Factory New),3.61,4.83,0.5,True,5
USP-S | Cortex (Minimal Wear),6.06,7.71,0.49,True,5
UMP-45 | Crimson Foil (Minimal Wear),6.01,7.65,0.49,True,5
USP-S | Blueprint (Field-Tested),3.52,4.72,0.49,True,5
Operation Breakout Weapon Case,5.89,7.49,0.48,True,5
AWP | PAW (Factory New),3.44,4.61,0.48,True,5
AK-47 | Slate (Minimal Wear),5.82,7.4,0.47,True,5
StatTrak™ USP-S | Ticket to Hell (Factory New),5.68,7.23,0.47,True,5
M4A1-S | Black Lotus (Field-Tested),5.52,7.02,0.45,True,5
USP-S | Tropical Breeze (Factory New),5.48,6.98,0.45,True,5
XM1014 | Incinegator (Field-Tested),3.26,4.36,0.45,True,5
AK-47 | Wintergreen (Minimal Wear),5.57,7.08,0.45,True,5
Huntsman Weapon Case,5.39,6.86,0.44,True,5
USP-S | Cyrex (Field-Tested),3.22,4.31,0.44,True,5
Dual Berettas | Sweet Little Angels (Field-Tested),2.32,3.25,0.44,True,5
AUG | Momentum (Field-Tested),3.24,4.33,0.44,True,5
Stockholm 2021 Dust II Souvenir Package,2.34,3.27,0.44,True,5
MAC-10 | Disco Tech (Minimal Wear),5.33,6.78,0.43,True,5
AUG | Eye of Zapems (Field-Tested),3.09,4.14,0.43,True,5
M4A1-S | Basilisk (Field-Tested),5.21,6.62,0.42,True,5
Galil AR | Tornado (Field-Tested),5.2,6.61,0.42,True,5
Operation Broken Fang Case,5.09,6.47,0.41,True,5
Desert Eagle | Mecha Industries (Minimal Wear),5.08,6.46,0.41,True,5
Glock-18 | Shinobu (Well-Worn),2.94,3.94,0.41,True,5
AWP | Duality (Minimal Wear),4.79,6.1,0.39,True,5
M4A4 | Evil Daimyo (Minimal Wear),2.81,3.76,0.39,True,5
Welcome to the Clutch Pin,2.76,3.7,0.39,True,5
M4A1-S | Solitude (Minimal Wear),4.67,5.94,0.38,True,5
XM1014 | Monster Melt (Field-Tested),2.77,3.71,0.38,True,5
M4A1-S | Liquidation (Field-Tested),4.63,5.89,0.38,True,5
Glock-18 | Shinobu (Battle-Scarred),2.82,3.77,0.38,True,5
"StatTrak™ Music Kit | The Verkkars, EZ4ENCE",4.58,5.82,0.37,True,5
Dual Berettas | Melondrama (Field-Tested),4.4,5.6,0.36,True,5
M4A4 | Tooth Fairy (Minimal Wear),4.27,5.43,0.35,True,5
AWP | Worm God (Factory New),2.58,3.45,0.35,True,5
StatTrak™ Glock-18 | Vogue (Field-Tested),4.24,5.4,0.35,True,5
StatTrak™ M4A4 | Tooth Fairy (Field-Tested),4.32,5.49,0.35,True,5
Sticker | Sharks Esports (Holo) | Stockholm 2021,4.15,5.29,0.35,True,5
Winter Offensive Weapon Case,4.13,5.26,0.34,True,5
USP-S | Jawbreaker (Field-Tested),4.1,5.22,0.34,True,5
AK-47 | Phantom Disruptor (Field-Tested),4.16,5.29,0.34,True,5
FAMAS | Rapid Eye Movement (Field-Tested),4.23,5.38,0.34,True,5
Five-SeveN | Heat Treated (Field-Tested),4.1,5.22,0.34,True,5
USP-S | Royal Guard (Field-Tested),2.41,3.23,0.34,True,5
StatTrak™ USP-S | Cyrex (Field-Tested),2.52,3.37,0.34,True,5
Shattered Web Case,4.04,5.14,0.33,True,5
MP7 | Abyssal Apparition (Field-Tested),4.08,5.19,0.33,True,5
AWP | Mortis (Minimal Wear),4.06,5.17,0.33,True,5
AK-47 | Steel Delta (Minimal Wear),2.42,3.24,0.33,True,5
Desert Eagle | Mecha Industries (Field-Tested),3.88,4.94,0.32,True,5
Glock-18 | Nuclear Garden (Minimal Wear),3.88,4.94,0.32,True,5
AK-47 | Searing Rage (Field-Tested),3.85,4.9,0.31,True,5
Glock-18 | Shinobu (Field-Tested),3.8,4.83,0.31,True,5
Glock-18 | Vogue (Minimal Wear),3.91,4.97,0.31,True,5
UMP-45 | Crimson Foil (Field-Tested),3.78,4.81,0.31,True,5
USP-S | Alpine Camo (Factory New),3.83,4.87,0.31,True,5
AK-47 | Ice Coaled (Field-Tested),3.75,4.77,0.3,True,5
USP-S | Cyrex (Minimal Wear),3.64,4.63,0.3,True,5
MP9 | Arctic Tri-Tone (Field-Tested),3.77,4.79,0.3,True,5
M4A1-S | Emphorosaur-S (Factory New),3.6,4.58,0.29,True,5
AWP | Atheris (Field-Tested),3.43,4.37,0.28,True,5
MAC-10 | Disco Tech (Field-Tested),3.32,4.23,0.28,True,5
Five-SeveN | Boost Protocol (Minimal Wear),3.46,4.4,0.28,True,5
Sticker | Loving Eyes (Holo),3.41,4.34,0.28,True,5
Galil AR | Stone Cold (Minimal Wear),3.48,4.42,0.28,True,5
P250 | Franklin (Factory New),3.42,4.34,0.27,True,5
AK-47 | Searing Rage (Well-Worn),3.27,4.16,0.27,True,5
Operation Vanguard Weapon Case,3.11,3.96,0.26,True,5
Gamma Case,3.13,3.99,0.26,True,5
Chroma Case,3.2,4.07,0.26,True,5
AK-47 | Slate (Field-Tested),3.14,4.0,0.26,True,5
Desert Eagle | Tilted (Factory New),3.12,3.98,0.26,True,5
USP-S | Cortex (Field-Tested),3.09,3.94,0.26,True,5
MP9 | Mount Fuji (Field-Tested),5.26,6.5,0.26,True,5
"Music Kit | The Verkkars, EZ4ENCE",3.13,3.98,0.25,True,5
UMP-45 | K.O. Factory (Field-Tested),3.01,3.83,0.25,True,5
Desert Eagle | Heat Treated (Minimal Wear),2.99,3.81,0.25,True,5
