name,avg_time_to_sell,sales_frequency,avg_profit,total_profit,efficiency
MP9 | Starlight Protector (Field-Tested),9.86,21,0.58,12.18,0.01
3rd Commando Company | KSK,4.1,10,1.18,11.8,0.01
StatTrak™ USP-S | Black Lotus (Minimal Wear),12.5,8,1.47,11.76,0.01
USP-S | Check Engine (Factory New),29.56,25,0.45,11.25,0.01
Special Agent Ava | FBI,2.25,4,2.81,11.24,0.01
USP-S | Ticket to Hell (Factory New),10.42,26,0.42,10.92,0.01
MAC-10 | Neon Rider (Minimal Wear),13.6,10,1.09,10.9,0.01
M4A4 | Temukau (Minimal Wear),4.67,3,3.6,10.8,0.01
AK-47 | Legion of Anubis (Minimal Wear),5.54,13,0.82,10.66,0.01
Desert Eagle | Tilted (Factory New),46.04,28,0.37,10.36,0.01
AK-47 | Wintergreen (Minimal Wear),7.0,8,1.29,10.32,0.01
USP-S | Cortex (Minimal Wear),5.71,14,0.73,10.22,0.01
Desert Eagle | Printstream (Field-Tested),6.25,4,2.53,10.12,0.01
Michael Syfers  | FBI Sniper,16.2,10,1.01,10.1,0.01
M4A1-S | Mud-Spec (Factory New),26.1,20,0.5,10.0,0.01
Sticker | Lotus (Glitter),9.36,11,0.87,9.57,0.01
Sticker | Bolt Strike,25.08,38,0.25,9.5,0.01
Glock-18 | Shinobu (Minimal Wear),7.25,8,1.18,9.44,0.01
MP9 | Starlight Protector (Minimal Wear),6.75,12,0.78,9.36,0.01
USP-S | Cortex (Field-Tested),29.96,25,0.37,9.25,0.01
Maximus | Sabre,1.8,5,1.82,9.1,0.01
AK-47 | Head Shot (Minimal Wear),7.33,6,1.5,9.0,0.01
StatTrak™ M4A1-S | Night Terror (Field-Tested),31.88,26,0.34,8.84,0.01
SSG 08 | Acid Fade (Factory New),24.0,20,0.44,8.8,0.01
USP-S | Cyrex (Factory New),14.9,10,0.88,8.8,0.01
AK-47 | The Outsiders (Field-Tested),9.85,13,0.66,8.58,0.01
Sticker | Gold Web (Foil),12.0,19,0.45,8.55,0.01
Glock-18 | Shinobu (Field-Tested),6.65,17,0.5,8.5,0.01
AK-47 | Asiimov (Field-Tested),3.25,4,2.12,8.48,0.01
"Music Kit | bbno$, u mad!",14.65,17,0.49,8.33,0.01
Desert Eagle | Sputnik (Factory New),11.8,10,0.81,8.1,0.01
AWP | Printstream (Well-Worn),5.2,5,1.57,7.85,0.01
Charm | Big Kev,12.91,23,0.34,7.82,0.01
Sticker | Bolt Charge (Foil),32.35,26,0.3,7.8,0.01
Sticker | Flex,28.54,26,0.3,7.8,0.01
Gift Package,10.25,8,0.96,7.68,0.01
"Music Kit | The Verkkars, EZ4ENCE",13.92,12,0.64,7.68,0.01
Operation Wildfire Case,4.5,12,0.64,7.68,0.01
Glock-18 | Nuclear Garden (Minimal Wear),10.11,9,0.83,7.47,0.01
M4A4 | Neo-Noir (Field-Tested),6.71,7,1.06,7.42,0.01
Galil AR | Chromatic Aberration (Field-Tested),4.92,13,0.57,7.41,0.01
AK-47 | Ice Coaled (Field-Tested),4.45,11,0.67,7.37,0.01
Dreams & Nightmares Case,12.44,36,0.2,7.2,0.01
Easy Peasy Pin,7.7,10,0.72,7.2,0.01
Glock-18 | Nuclear Garden (Field-Tested),17.63,19,0.37,7.03,0.01
Guardian 3 Pin,8.0,12,0.57,6.84,0.01
M4A4 | The Emperor (Minimal Wear),2.0,3,2.28,6.84,0.01
StatTrak™ Glock-18 | Umbral Rabbit (Minimal Wear),10.11,9,0.76,6.84,0.01
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested),21.05,21,0.32,6.72,0.01
Chroma 3 Case,5.54,13,0.51,6.63,0.01
Huntsman Weapon Case,5.82,11,0.6,6.6,0.01
AK-47 | Legion of Anubis (Field-Tested),7.0,9,0.7,6.3,0.01
USP-S | Jawbreaker (Field-Tested),4.36,14,0.45,6.3,0.01
Tec-9 | Fuel Injector (Minimal Wear),2.33,3,2.08,6.24,0.01
Glock-18 | Candy Apple (Factory New),13.82,22,0.28,6.16,0.01
M4A1-S | Emphorosaur-S (Minimal Wear),18.21,19,0.32,6.08,0.01
Galil AR | Stone Cold (Field-Tested),8.6,10,0.56,5.6,0.01
Charm | Hot Sauce,12.33,21,0.26,5.46,0.01
MP7 | Bloodsport (Field-Tested),8.92,12,0.45,5.4,0.01
AWP | Atheris (Well-Worn),4.5,6,0.84,5.04,0.01
AK-47 | Slate (Minimal Wear),4.1,10,0.5,5.0,0.01
AK-47 | Searing Rage (Field-Tested),1.9,10,0.48,4.8,0.01
Operation Phoenix Weapon Case,3.5,16,0.3,4.8,0.01
M4A1-S | Nitro (Minimal Wear),4.55,11,0.38,4.18,0.01
AWP | Black Nile (Field-Tested),5.56,9,0.44,3.96,0.01
Name Tag,7.44,18,0.22,3.96,0.01
Shanghai 2024 Legends Sticker Capsule,16.57,54,0.07,3.78,0.01
Glock-18 | Water Elemental (Field-Tested),3.0,8,0.46,3.68,0.01
AWP | Atheris (Field-Tested),2.71,7,0.51,3.57,0.01
The Elite Mr. Muhlik | Elite Crew,0.5,2,1.76,3.52,0.01
MP9 | Food Chain (Field-Tested),4.11,9,0.39,3.51,0.01
Five-SeveN | Sky Blue (Factory New),1.43,7,0.42,2.94,0.01
Charm | Lil' SAS,5.21,19,0.14,2.66,0.01
Shanghai 2024 Legends Autograph Capsule,8.3,23,0.1,2.3,0.01
Clutch Case,1.0,12,0.17,2.04,0.01
AK-47 | Wintergreen (Field-Tested),0.67,3,0.66,1.98,0.01
Dragomir | Sabre,0.01,1,0.28,0.28,0.01
AWP | Phobos (Minimal Wear),0.01,1,0.27,0.27,0.01
Sticker | Perfect World (Glitter) | Shanghai 2024,0.01,1,0.26,0.26,0.01
SCAR-20 | Carbon Fiber (Factory New),0.01,1,0.17,0.17,0.01
SSG 08 | Hand Brake (Minimal Wear),0.01,1,0.14,0.14,0.01
AWP | Capillary (Minimal Wear),0.01,1,0.12,0.12,0.01
Sir Bloody Miami Darryl | The Professionals,22.5,2,10.46,20.92,0.0
SSG 08 | Turbo Peek (Minimal Wear),30.22,9,1.71,15.39,0.0
AK-47 | The Empress (Minimal Wear),8.33,3,5.0,15.0,0.0
★ Driver Gloves | Black Tie (Field-Tested),7.0,1,14.08,14.08,0.0
AK-47 | Redline (Field-Tested),45.57,7,1.9,13.3,0.0
Glock-18 | Nuclear Garden (Factory New),20.22,9,1.41,12.69,0.0
AK-47 | Asiimov (Minimal Wear),10.33,3,4.18,12.54,0.0
Galil AR | Tuxedo (Factory New),52.18,17,0.69,11.73,0.0
Sticker | Team Liquid (Holo) | Stockholm 2021,66.95,20,0.58,11.6,0.0
M4A1-S | Golden Coil (Field-Tested),11.67,3,3.78,11.34,0.0
★ Shadow Daggers | Doppler (Factory New),8.0,1,11.3,11.3,0.0
Glock-18 | Vogue (Factory New),29.21,14,0.73,10.22,0.0
AWP | Acheron (Factory New),37.6,15,0.67,10.05,0.0
M4A1-S | Player Two (Minimal Wear),16.0,2,4.44,8.88,0.0
M4A4 | Temukau (Field-Tested),9.83,6,1.45,8.7,0.0
M4A4 | Converter (Factory New),103.25,20,0.43,8.6,0.0
Charm | That's Bananas,72.43,14,0.61,8.54,0.0
StatTrak™ M4A1-S | Night Terror (Minimal Wear),17.1,10,0.82,8.2,0.0
StatTrak™ Glock-18 | Umbral Rabbit (Factory New),5.33,3,2.65,7.95,0.0
Elite Trapper Solman | Guerrilla Warfare,25.67,3,2.62,7.86,0.0
FAMAS | Pulse (Factory New),11.33,3,2.57,7.71,0.0
★ Moto Gloves | 3rd Commando Company (Field-Tested),3.0,1,7.66,7.66,0.0
FAMAS | ZX Spectron (Field-Tested),28.58,12,0.62,7.44,0.0
"Music Kit | Denzel Curry, ULTIMATE",14.67,9,0.82,7.38,0.0
Sir Bloody Skullhead Darryl | The Professionals,13.33,3,2.45,7.35,0.0
StatTrak™ Desert Eagle | Printstream (Field-Tested),9.5,2,3.63,7.26,0.0
Sir Bloody Loudmouth Darryl | The Professionals,5.0,2,3.6,7.2,0.0
Sir Bloody Darryl Royale | The Professionals,21.0,3,2.39,7.17,0.0
Tec-9 | Re-Entry (Factory New),31.0,11,0.65,7.15,0.0
AWP | Asiimov (Field-Tested),23.0,1,7.04,7.04,0.0
Glove Case,22.78,18,0.38,6.84,0.0
AWP | Hyper Beast (Minimal Wear),22.0,1,6.76,6.76,0.0
USP-S | Alpine Camo (Minimal Wear),24.92,12,0.55,6.6,0.0
Chef d'Escadron Rouchard | Gendarmerie Nationale,15.5,2,3.26,6.52,0.0
StatTrak™ Glock-18 | Moonrise (Factory New),26.43,7,0.93,6.51,0.0
Sticker | Scorch Loop,85.2,30,0.21,6.3,0.0
AK-47 | Crossfade (Minimal Wear),13.12,8,0.78,6.24,0.0
AWP | Printstream (Minimal Wear),10.5,2,3.12,6.24,0.0
Wildfire Pin,14.57,7,0.88,6.16,0.0
Sticker | High Heat,38.28,32,0.19,6.08,0.0
Desert Eagle | Light Rail (Factory New),36.6,5,1.19,5.95,0.0
M4A1-S | Basilisk (Field-Tested),6.33,3,1.97,5.91,0.0
Five-SeveN | Boost Protocol (Factory New),21.0,3,1.95,5.85,0.0
Desert Eagle | Trigger Discipline (Factory New),15.0,6,0.94,5.64,0.0
MAC-10 | Disco Tech (Minimal Wear),8.0,5,1.12,5.6,0.0
AK-47 | Neon Rider (Field-Tested),12.0,3,1.82,5.46,0.0
Glock-18 | Umbral Rabbit (Factory New),25.65,20,0.27,5.4,0.0
Sous-Lieutenant Medic | Gendarmerie Nationale,4.75,4,1.34,5.36,0.0
Desert Eagle | Conspiracy (Minimal Wear),6.0,3,1.78,5.34,0.0
AK-47 | Frontside Misty (Field-Tested),8.67,3,1.76,5.28,0.0
USP-S | Cortex (Factory New),37.33,12,0.44,5.28,0.0
Lt. Commander Ricksaw | NSWC SEAL,37.5,6,0.87,5.22,0.0
Seal Team 6 Soldier | NSWC SEAL,6.6,5,1.04,5.2,0.0
Welcome to the Clutch Pin,10.25,8,0.64,5.12,0.0
Sticker Capsule 2,15.0,5,1.02,5.1,0.0
M4A4 | Buzz Kill (Minimal Wear),6.25,4,1.26,5.04,0.0
AWP | Chrome Cannon (Minimal Wear),7.0,1,4.98,4.98,0.0
AWP | Worm God (Factory New),7.75,4,1.23,4.92,0.0
Inferno 2 Pin,7.25,8,0.61,4.88,0.0
Operation Breakout Weapon Case,28.0,9,0.54,4.86,0.0
M4A1-S | Nightmare (Minimal Wear),7.0,2,2.42,4.84,0.0
Stockholm 2021 Contenders Sticker Capsule,39.3,20,0.24,4.8,0.0
"Music Kit | TWERL and Ekko & Sidetrack, Under Bright Lights",4.0,2,2.35,4.7,0.0
AK-47 | Slate (Factory New),6.5,2,2.34,4.68,0.0
StatTrak™ M4A1-S | Black Lotus (Minimal Wear),17.0,2,2.34,4.68,0.0
Shattered Web Case,32.4,15,0.31,4.65,0.0
Charm | Chicken Lil',22.8,10,0.46,4.6,0.0
Charm | Disco MAC,17.22,9,0.51,4.59,0.0
1st Lieutenant Farlow | SWAT,11.33,6,0.76,4.56,0.0
Arno The Overgrown | Guerrilla Warfare,25.67,6,0.76,4.56,0.0
AK-47 | Ice Coaled (Minimal Wear),9.0,6,0.75,4.5,0.0
StatTrak™ Glock-18 | Moonrise (Field-Tested),10.0,9,0.5,4.5,0.0
AK-47 | Ice Coaled (Factory New),6.25,4,1.12,4.48,0.0
Cmdr. Mae 'Dead Cold' Jamison | SWAT,25.67,3,1.48,4.44,0.0
Sticker | Battle Scarred (Holo),5.17,6,0.74,4.44,0.0
P90 | Asiimov (Field-Tested),4.67,3,1.47,4.41,0.0
M4A4 | Choppa (Factory New),13.8,10,0.44,4.4,0.0
AWP | Wildfire (Minimal Wear),5.0,1,4.37,4.37,0.0
AK-47 | Nightwish (Field-Tested),22.0,4,1.08,4.32,0.0
Sticker | Apeks (Glitter) | Copenhagen 2024,49.0,12,0.36,4.32,0.0
AK-47 | Midnight Laminate (Factory New),19.0,1,4.29,4.29,0.0
P250 | Asiimov (Field-Tested),16.14,7,0.61,4.27,0.0
M4A1-S | Emphorosaur-S (Factory New),18.2,10,0.42,4.2,0.0
"Music Kit | Knock2, Make U SWEAT!",63.43,7,0.6,4.2,0.0
AK-47 | Frontside Misty (Minimal Wear),6.0,1,4.17,4.17,0.0
Sticker | GO,39.67,9,0.46,4.14,0.0
Operation Riptide Case,29.4,5,0.81,4.05,0.0
P250 | See Ya Later (Field-Tested),28.47,15,0.27,4.05,0.0
Sticker | MOUZ (Holo) | Paris 2023,107.15,20,0.2,4.0,0.0
AK-47 | Blue Laminate (Factory New),8.0,1,3.99,3.99,0.0
Tec-9 | Ice Cap (Factory New),33.86,7,0.57,3.99,0.0
Vypa Sista of the Revolution | Guerrilla Warfare,8.0,1,3.95,3.95,0.0
AK-47 | Searing Rage (Minimal Wear),4.0,2,1.96,3.92,0.0
AK-47 | Slate (Well-Worn),6.44,9,0.43,3.87,0.0
SSG 08 | Turbo Peek (Field-Tested),6.0,3,1.29,3.87,0.0
Aspirant | Gendarmerie Nationale,20.57,7,0.55,3.85,0.0
R8 Revolver | Blaze (Factory New),13.25,12,0.32,3.84,0.0
Galil AR | Chromatic Aberration (Minimal Wear),5.5,4,0.95,3.8,0.0
Sticker | Natus Vincere (Holo) | Paris 2023,49.59,27,0.14,3.78,0.0
USP-S | Alpine Camo (Factory New),16.73,11,0.34,3.74,0.0
MAC-10 | Pipsqueak (Minimal Wear),25.17,12,0.31,3.72,0.0
Officer Jacques Beltram | Gendarmerie Nationale,3.5,2,1.86,3.72,0.0
M4A4 | Neo-Noir (Minimal Wear),2.33,3,1.23,3.69,0.0
M4A1-S | Night Terror (Factory New),37.94,16,0.23,3.68,0.0
Sticker | Fluxo (Holo) | Paris 2023,91.94,16,0.23,3.68,0.0
Desert Eagle | Serpent Strike (Factory New),16.21,14,0.26,3.64,0.0
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman,2.0,1,3.63,3.63,0.0
Glock-18 | Moonrise (Minimal Wear),12.75,8,0.45,3.6,0.0
Glock-18 | Ocean Topo (Factory New),23.08,12,0.3,3.6,0.0
M4A4 | Buzz Kill (Field-Tested),13.0,1,3.6,3.6,0.0
UMP-45 | K.O. Factory (Field-Tested),11.88,8,0.45,3.6,0.0
Sticker | Rainbow Route (Holo),16.53,17,0.21,3.57,0.0
Dual Berettas | Cobalt Quartz (Factory New),15.88,8,0.44,3.52,0.0
CS:GO Weapon Case 2,9.33,3,1.17,3.51,0.0
Phoenix Pin,18.83,6,0.58,3.48,0.0
USP-S | Printstream (Minimal Wear),23.0,1,3.45,3.45,0.0
Glock-18 | Bullet Queen (Minimal Wear),2.0,2,1.72,3.44,0.0
Glock-18 | Gold Toof (Field-Tested),3.0,2,1.72,3.44,0.0
USP-S | Jawbreaker (Minimal Wear),3.5,4,0.86,3.44,0.0
Five-SeveN | Urban Hazard (Minimal Wear),9.2,5,0.68,3.4,0.0
Rezan the Redshirt | Sabre,6.6,5,0.68,3.4,0.0
AK-47 | Crossfade (Field-Tested),8.31,13,0.26,3.38,0.0
Galil AR | Signal (Factory New),25.78,9,0.37,3.33,0.0
FAMAS | Rapid Eye Movement (Minimal Wear),39.0,4,0.82,3.28,0.0
M4A4 | Desolate Space (Well-Worn),5.5,2,1.64,3.28,0.0
Sticker | Vitality (Holo) | Stockholm 2021,7.57,7,0.46,3.22,0.0
StatTrak™ Desert Eagle | Trigger Discipline (Minimal Wear),40.8,5,0.64,3.2,0.0
Primeiro Tenente | Brazilian 1st Battalion,4.0,1,3.18,3.18,0.0
AWP | Chromatic Aberration (Field-Tested),4.67,3,1.05,3.15,0.0
AK-47 | Legion of Anubis (Factory New),7.5,2,1.56,3.12,0.0
AWP | Black Nile (Minimal Wear),8.5,4,0.78,3.12,0.0
FAMAS | Commemoration (Minimal Wear),3.0,1,3.12,3.12,0.0
USP-S | Blueprint (Field-Tested),39.67,3,1.03,3.09,0.0
Hydra Pin,29.67,3,1.02,3.06,0.0
MP9 | Food Chain (Minimal Wear),22.0,3,1.02,3.06,0.0
Glock-18 | Block-18 (Factory New),30.6,5,0.61,3.05,0.0
AWP | Duality (Field-Tested),27.94,16,0.19,3.04,0.0
Sticker | Fnatic (Holo) | Paris 2023,90.32,19,0.16,3.04,0.0
Chem-Haz Capitaine | Gendarmerie Nationale,8.0,1,2.99,2.99,0.0
B Squadron Officer | SAS,8.0,3,0.99,2.97,0.0
AK-47 | Midnight Laminate (Field-Tested),10.0,3,0.98,2.94,0.0
Canals Pin,6.17,6,0.49,2.94,0.0
MP7 | Bloodsport (Factory New),14.0,1,2.92,2.92,0.0
Sticker | Bolt Energy (Foil),25.67,9,0.32,2.88,0.0
M4A1-S | Nitro (Factory New),3.0,1,2.86,2.86,0.0
M4A4 | 龍王 (Dragon King) (Field-Tested),8.0,3,0.94,2.82,0.0
Sticker | Blue Gem (Glitter),6.83,6,0.47,2.82,0.0
AWP | Pit Viper (Minimal Wear),6.71,7,0.4,2.8,0.0
Charm | Whittle Knife,51.1,40,0.07,2.8,0.0
Enforcer | Phoenix,4.0,7,0.4,2.8,0.0
MP9 | Mount Fuji (Field-Tested),11.67,3,0.93,2.79,0.0
StatTrak™ AK-47 | Legion of Anubis (Field-Tested),35.0,1,2.78,2.78,0.0
Glock-18 | Moonrise (Factory New),28.0,4,0.69,2.76,0.0
Anubis Collection Package,9.64,11,0.25,2.75,0.0
M4A4 | Spider Lily (Field-Tested),7.0,1,2.74,2.74,0.0
SSG 08 | Abyss (Factory New),10.67,3,0.91,2.73,0.0
"Music Kit | The Verkkars & n0thing, Flashbang Dance",14.5,4,0.68,2.72,0.0
Glock-18 | Wasteland Rebel (Factory New),5.5,2,1.35,2.7,0.0
Zeus x27 | Olympus (Field-Tested),5.0,7,0.38,2.66,0.0
Bio-Haz Specialist | SWAT,3.67,3,0.88,2.64,0.0
USP-S | Neo-Noir (Minimal Wear),21.0,1,2.6,2.6,0.0
Soldier | Phoenix,10.33,3,0.86,2.58,0.0
StatTrak™ Desert Eagle | Blue Ply (Minimal Wear),2.6,5,0.51,2.55,0.0
AWP | Mortis (Field-Tested),45.44,18,0.14,2.52,0.0
Blackwolf | Sabre,6.5,4,0.63,2.52,0.0
Desert Eagle | Meteorite (Factory New),24.36,14,0.18,2.52,0.0
Street Soldier | Phoenix,34.79,14,0.18,2.52,0.0
Tec-9 | Isaac (Minimal Wear),5.33,3,0.84,2.52,0.0
Zeus x27 | Tosai (Minimal Wear),7.7,10,0.25,2.5,0.0
Death Sentence Pin,6.75,4,0.62,2.48,0.0
Charm | Glamour Shot,20.26,19,0.13,2.47,0.0
Chroma 2 Case,23.23,13,0.19,2.47,0.0
Slingshot | Phoenix,6.0,1,2.47,2.47,0.0
Operation Vanguard Weapon Case,18.0,6,0.41,2.46,0.0
AWP | Duality (Factory New),6.0,1,2.45,2.45,0.0
Sticker | Eternal Fire (Glitter) | Copenhagen 2024,6.57,7,0.35,2.45,0.0
Glock-18 | Umbral Rabbit (Minimal Wear),21.62,8,0.3,2.4,0.0
M4A4 | Turbine (Minimal Wear),50.75,4,0.6,2.4,0.0
Sticker | Boom Trail,98.95,20,0.12,2.4,0.0
Sticker | Surf's Up,44.67,6,0.4,2.4,0.0
Sticker | Incineration (Holo),6.5,2,1.19,2.38,0.0
M4A4 | 龍王 (Dragon King) (Minimal Wear),2.5,2,1.17,2.34,0.0
Desert Eagle | Conspiracy (Factory New),21.0,2,1.16,2.32,0.0
Sticker | m0NESY (Glitter) | Copenhagen 2024,34.25,4,0.57,2.28,0.0
USP-S | Ticket to Hell (Minimal Wear),5.08,12,0.19,2.28,0.0
AWP | Asiimov (Battle-Scarred),18.8,5,0.45,2.25,0.0
Sticker | Infinite Triangle (Holo),33.67,3,0.75,2.25,0.0
Buckshot | NSWC SEAL,6.25,4,0.56,2.24,0.0
USP-S | Tropical Breeze (Field-Tested),16.75,4,0.56,2.24,0.0
USP-S | The Traitor (Field-Tested),3.67,3,0.74,2.22,0.0
Sticker | Ouchie (Foil),13.0,1,2.21,2.21,0.0
AK-47 | Phantom Disruptor (Minimal Wear),3.2,5,0.44,2.2,0.0
FAMAS | Commemoration (Factory New),6.5,2,1.1,2.2,0.0
Tec-9 | Fuel Injector (Field-Tested),3.67,3,0.73,2.19,0.0
'Blueberries' Buckshot | NSWC SEAL,23.0,2,1.09,2.18,0.0
AK-47 | Neon Revolution (Field-Tested),2.0,1,2.17,2.17,0.0
M4A4 | In Living Color (Minimal Wear),6.0,1,2.17,2.17,0.0
CS:GO Weapon Case 3,6.0,2,1.08,2.16,0.0
Gamma 2 Case,3.89,9,0.24,2.16,0.0
Stockholm 2021 Legends Sticker Capsule,7.33,12,0.18,2.16,0.0
Little Kev | The Professionals,9.0,2,1.06,2.12,0.0
M4A4 | Magnesium (Factory New),56.6,5,0.42,2.1,0.0
Sticker | ECSTATIC (Glitter) | Copenhagen 2024,34.53,15,0.14,2.1,0.0
Sticker | Boom Detonation (Glitter),83.89,19,0.11,2.09,0.0
Sticker | Cloud9 (Glitter) | Copenhagen 2024,83.0,19,0.11,2.09,0.0
Glock-18 | Water Elemental (Minimal Wear),7.0,2,1.04,2.08,0.0
Sticker | Imperial Esports (Glitter) | Copenhagen 2024,15.17,6,0.34,2.04,0.0
Sticker | Zeusception (Holo),88.0,4,0.51,2.04,0.0
AK-47 | Phantom Disruptor (Field-Tested),12.33,3,0.66,1.98,0.0
USP-S | Black Lotus (Minimal Wear),22.5,6,0.33,1.98,0.0
USP-S | Printstream (Field-Tested),4.0,1,1.97,1.97,0.0
Operation Broken Fang Case,42.0,14,0.14,1.96,0.0
FAMAS | Rapid Eye Movement (Field-Tested),14.8,5,0.39,1.95,0.0
M4A1-S | Decimator (Field-Tested),8.67,3,0.65,1.95,0.0
M4A4 | In Living Color (Field-Tested),5.0,3,0.64,1.92,0.0
StatTrak™ M4A1-S | Emphorosaur-S (Factory New),24.67,3,0.64,1.92,0.0
USP-S | Lead Conduit (Minimal Wear),27.0,5,0.38,1.9,0.0
AWP | Neo-Noir (Minimal Wear),4.0,1,1.87,1.87,0.0
Glock-18 | Shinobu (Well-Worn),8.67,6,0.31,1.86,0.0
MP9 | Mount Fuji (Factory New),11.0,5,0.36,1.8,0.0
StatTrak™ AWP | Capillary (Minimal Wear),5.33,3,0.6,1.8,0.0
Aces High Pin,12.0,1,1.78,1.78,0.0
StatTrak™ M4A1-S | Black Lotus (Field-Tested),3.0,1,1.78,1.78,0.0
